No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference,fp,desc,MW,ExactMolWt,LogP,HBA,HBD,TPSA,AromaticRings,RotatableBonds,HeavyAtoms,QED,FractionCSP3,RingCount,pIC50_pred,IC50_pred_nM
403,Non-Steroid,O=C1C2=C(C=CC=C2)CC/C1=C\C3=CC=NC=C3,8.298432014944073,Inactive,235.3,1,3,0,2,3.112,29.96,0.182274419,-747.5029346,3.548,-0.24771,-0.07977,0.16794,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-115,[0 0 0 ... 0 0 0],"[235.28599999999997, 235.099714036, 3.294100000000002, 2, 0, 29.96, 2, 1, 18, 0.7097881601750337, 0.125, 3]",235.28599999999997,235.099714036,3.294100000000002,2,0,29.96,2,1,18,0.7097881601750337,0.125,3,8.282240034386147,5.221075406100313
404,Non-Steroid,O=C1C2=C(C(OC)=CC=C2)CC/C1=C\C3=CC=NC=C3,8.2839966563652,Inactive,265.33,2,3,0,3,3.096,39.19,0.195728114,-862.0251136,5.0585,-0.22698,-0.07597,0.15101,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-116,[0 0 0 ... 0 0 0],"[265.31199999999995, 265.11027872, 3.3027000000000015, 3, 0, 39.19, 2, 2, 20, 0.7819886294803063, 0.17647058823529413, 3]",265.31199999999995,265.11027872,3.3027000000000015,3,0,39.19,2,2,20,0.7819886294803063,0.17647058823529413,3,8.28234857899954,5.219770649028926
405,Non-Steroid,O=C1C2=C(C=C(OC)C=C2)CC/C1=C\C3=CC=NC=C3,8.296708621881338,Inactive,265.33,2,3,0,3,3.096,39.19,0.204739486,-862.0281043,4.7074,-0.23055,-0.07304,0.15751,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-117,[0 0 0 ... 0 0 0],"[265.31199999999995, 265.11027872, 3.3027000000000015, 3, 0, 39.19, 2, 2, 20, 0.7819886294803063, 0.17647058823529413, 3]",265.31199999999995,265.11027872,3.3027000000000015,3,0,39.19,2,2,20,0.7819886294803063,0.17647058823529413,3,8.28234857899954,5.219770649028926
407,Non-Steroid,O=C1C2=C(C(O)=CC=C2)CC/C1=C\C3=CC=NC=C3,8.210419287835574,Active,251.3,1,3,1,3,2.845,50.19,0.208318344,-822.7187218,4.7333,-0.23075,-0.07761,0.15314,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-118,[0 0 0 ... 0 0 0],"[251.28499999999997, 251.094628656, 2.9997000000000007, 3, 1, 50.19, 2, 1, 19, 0.7925275768859943, 0.125, 3]",251.28499999999997,251.094628656,2.9997000000000007,3,1,50.19,2,1,19,0.7925275768859943,0.125,3,8.247675997056195,5.65358600105643
408,Non-Steroid,O=C1C2=C(C=C(O)C=C2)CC/C1=C\C3=CC=NC=C3,8.2958494831602,Inactive,251.3,1,3,1,3,2.845,50.19,0.216879813,-822.7217322,4.0482,-0.23475,-0.07441,0.16034,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-119,[0 0 0 ... 0 0 0],"[251.28499999999997, 251.094628656, 2.9997000000000007, 3, 1, 50.19, 2, 1, 19, 0.7925275768859943, 0.125, 3]",251.28499999999997,251.094628656,2.9997000000000007,3,1,50.19,2,1,19,0.7925275768859943,0.125,3,8.28405305731167,5.199324730360331
410,Non-Steroid,O=C1C2=C(C=CC=C2)CC/C1=C/C3=CC=NC=C3,8.30803489723264,Inactive,235.3,1,3,0,2,3.112,29.96,0.182982581,-747.4997003,5.2738,-0.24209,-0.08146,0.16063,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-120,[0 0 0 ... 0 0 0],"[235.28599999999997, 235.099714036, 3.294100000000002, 2, 0, 29.96, 2, 1, 18, 0.7097881601750337, 0.125, 3]",235.28599999999997,235.099714036,3.294100000000002,2,0,29.96,2,1,18,0.7097881601750337,0.125,3,8.282240034386147,5.221075406100313
411,Non-Steroid,O=C1C2=C(C(CCCC3)=C3C=C2)CC/C1=C\C4=CC=NC=C4,8.301029995663981,Inactive,289.4,1,4,0,2,4.626,29.96,0.186080927,-903.5590054,4.5863,-0.24081,-0.07481,0.166,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-121,[0 0 0 ... 0 0 0],"[289.378, 289.146664228, 4.172900000000003, 2, 0, 29.96, 2, 1, 22, 0.7373774593761563, 0.3, 4]",289.378,289.146664228,4.172900000000003,2,0,29.96,2,1,22,0.7373774593761563,0.3,4,8.267841876906905,5.397070897142359
412,Non-Steroid,O=C1C2=C(C=CC(OC)=C2)CC/C1=C\C3=CC=NC=C3,8.29929628285498,Inactive,265.33,2,3,0,3,3.096,39.19,0.202721086,-862.0262968,2.7926,-0.22474,-0.07888,0.14586,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-122,[0 0 0 ... 0 0 0],"[265.31199999999995, 265.11027872, 3.3027000000000015, 3, 0, 39.19, 2, 2, 20, 0.7819886294803063, 0.17647058823529413, 3]",265.31199999999995,265.11027872,3.3027000000000015,3,0,39.19,2,2,20,0.7819886294803063,0.17647058823529413,3,8.28234857899954,5.219770649028926
414,Non-Steroid,O=C1C2=C(C=CC(O)=C2)CC/C1=C\C3=CC=NC=C3,8.175223537524454,Active,251.3,1,3,1,3,2.845,50.19,0.215530438,-822.719563,2.3591,-0.22867,-0.08095,0.14772,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-123,[0 0 0 ... 0 0 0],"[251.28499999999997, 251.094628656, 2.9997000000000007, 3, 1, 50.19, 2, 1, 19, 0.7925275768859943, 0.125, 3]",251.28499999999997,251.094628656,2.9997000000000007,3,1,50.19,2,1,19,0.7925275768859943,0.125,3,8.28405305731167,5.199324730360331
416,Non-Steroid,O=C1C2=C(C=CC=C2)C/C1=C([H])\C3=CC=NC=C3,8.337242168318426,Inactive,221.27,1,3,0,2,2.656,29.96,0.184246536,-708.1912819,3.4669,-0.24888,-0.08897,0.15991,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-124,[0 0 0 ... 0 0 0],"[221.259, 221.084063972, 2.904000000000001, 2, 0, 29.96, 2, 1, 17, 0.692908266418156, 0.06666666666666667, 3]",221.259,221.084063972,2.904000000000001,2,0,29.96,2,1,17,0.692908266418156,0.06666666666666667,3,8.277358655497304,5.280090234465776
417,Non-Steroid,O=C1C2=C(C=CC=C2)C/C1=C(C3=CC=NC=C3)\[H],8.279014255846262,Inactive,221.27,1,3,0,2,2.656,29.96,0.184245857,-708.1912819,3.467,-0.24888,-0.08897,0.15991,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-125,[0 0 0 ... 0 0 0],"[221.259, 221.084063972, 2.904000000000001, 2, 0, 29.96, 2, 1, 17, 0.692908266418156, 0.06666666666666667, 3]",221.259,221.084063972,2.904000000000001,2,0,29.96,2,1,17,0.692908266418156,0.06666666666666667,3,8.277358655497304,5.280090234465776
418,Non-Steroid,O=C1C2=C(C(OC)=CC=C2)C/C1=C(C3=CC=NC=C3)/[H],8.33348201944512,Inactive,251.3,2,3,0,3,2.64,39.19,0.199127844,-822.7146649,5.003,-0.23213,-0.08504,0.14709,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-126,[0 0 0 ... 0 0 0],"[251.285, 251.094628656, 2.912600000000001, 3, 0, 39.19, 2, 2, 19, 0.7702793289169177, 0.125, 3]",251.285,251.094628656,2.912600000000001,3,0,39.19,2,2,19,0.7702793289169177,0.125,3,8.281251720054534,5.232970421218144
419,Non-Steroid,O=C1C2=C(C(OC)=CC=C2)C/C1=C(C3=CC=NC=C3)\[H],8.265200170411154,Inactive,251.3,2,3,0,3,2.64,39.19,0.199127844,-822.7146649,5.003,-0.23213,-0.08504,0.14709,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-127,[0 0 0 ... 0 0 0],"[251.285, 251.094628656, 2.912600000000001, 3, 0, 39.19, 2, 2, 19, 0.7702793289169177, 0.125, 3]",251.285,251.094628656,2.912600000000001,3,0,39.19,2,2,19,0.7702793289169177,0.125,3,8.281251720054534,5.232970421218144
420,Non-Steroid,O=C1C2=C(C=C(OC)C=C2)C/C1=C(C3=CC=NC=C3)/[H],8.274088367704952,Inactive,251.3,2,3,0,3,2.64,39.19,0.208581281,-822.7160604,4.9274,-0.23324,-0.0827,0.15054,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-128,[0 0 0 ... 0 0 0],"[251.285, 251.094628656, 2.912600000000001, 3, 0, 39.19, 2, 2, 19, 0.7702793289169177, 0.125, 3]",251.285,251.094628656,2.912600000000001,3,0,39.19,2,2,19,0.7702793289169177,0.125,3,8.281251720054534,5.232970421218144
421,Non-Steroid,O=C1C2=C(C=C(OC)C=C2)C/C1=C([H])/C3=CC=NC=C3,8.2839966563652,Inactive,251.3,2,3,0,3,2.64,39.19,0.208580844,-822.7160605,4.9274,-0.23324,-0.0827,0.15054,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-129,[0 0 0 ... 0 0 0],"[251.285, 251.094628656, 2.912600000000001, 3, 0, 39.19, 2, 2, 19, 0.7702793289169177, 0.125, 3]",251.285,251.094628656,2.912600000000001,3,0,39.19,2,2,19,0.7702793289169177,0.125,3,8.281251720054534,5.232970421218144
422,Non-Steroid,O=C1C2=C(C=C(O)C=C2)C/C1=C(C3=CC=NC=C3)/[H],8.331614083309999,Inactive,237.27,1,3,1,3,2.389,50.19,0.222192138,-783.409728,4.2716,-0.23755,-0.08395,0.1536,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-130,[0 0 0 ... 0 0 0],"[237.25799999999998, 237.078978592, 2.6096000000000004, 3, 1, 50.19, 2, 1, 18, 0.7754731200266453, 0.06666666666666667, 3]",237.25799999999998,237.078978592,2.6096000000000004,3,1,50.19,2,1,18,0.7754731200266453,0.06666666666666667,3,8.280874432019607,5.237518475702847
424,Non-Steroid,ClC1=CC=C(C(N2C=NC=C2)C3=CC=C(N=CN4)C4=C3)C=C1,8.133712660915805,Active,308.79,3,4,1,2,3.299,46.5,0.1968026,-1334.83824,6.4389,-0.21978,-0.02926,0.19052,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-131,[0 1 0 ... 0 0 0],"[308.772, 308.082874096, 4.050500000000001, 3, 1, 46.5, 4, 3, 22, 0.6203773890845408, 0.058823529411764705, 4]",308.772,308.082874096,4.050500000000001,3,1,46.5,4,3,22,0.6203773890845408,0.058823529411764705,4,8.109872491342932,7.764750558794123
425,Non-Steroid,ClC1=CC=C(C(N2C=NC=N2)([H])C3=CC=C(N=NN4C)C4=C3)C=C1,8.053056729302174,Active,324.8,3,4,0,4,3.467,61.42,0.191999194,-1406.192084,2.5151,-0.24149,-0.05234,0.18915,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-132,[0 1 0 ... 0 0 0],"[324.77500000000003, 324.089022096, 2.8509, 6, 0, 61.42, 4, 3, 23, 0.5811314334288238, 0.125, 4]",324.77500000000003,324.089022096,2.8509,6,0,61.42,4,3,23,0.5811314334288238,0.125,4,8.079630405678115,8.324719219668248
426,Non-Steroid,[H]C(C1=CC=C(Cl)C=C1)(N2C=NC=N2)C3=CC(N=NN4C)=C4C=C3,8.075720713938118,Active,324.8,3,4,0,4,3.467,61.42,0.190914111,-1406.191876,6.3051,-0.24381,-0.05295,0.19086,Comparative molecular field analysis of non-steroidal aromatase inhibitors: an extended model for two different structural classes,Bioorg Med Chem. 1998;6(4):377-133,[0 1 0 ... 0 0 0],"[324.7750000000001, 324.089022096, 2.8509, 6, 0, 61.42, 4, 3, 23, 0.5811314334288238, 0.125, 4]",324.7750000000001,324.089022096,2.8509,6,0,61.42,4,3,23,0.5811314334288238,0.125,4,8.122171477820553,7.547941441855001
427,Non-Steroid,CC(C)(C1=CC=C(CN(N2C=NC=C2)CC3=CC=CC4=C3C=CC=C4)C=C1)C,8.272606191131255,Inactive,369.55,6,4,0,2,5.61,21.06,0.170941545,-1133.14617,3.6266,-0.21249,-0.03948,0.17301,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-58,[0 0 0 ... 0 0 0],"[369.5120000000001, 369.22049786400004, 5.6722000000000055, 3, 0, 21.060000000000002, 4, 5, 28, 0.4516679339947775, 0.24, 4]",369.5120000000001,369.22049786400004,5.6722000000000055,3,0,21.060000000000002,4,5,28,0.4516679339947775,0.24,4,8.238651286786395,5.772297592968161
428,Non-Steroid,ClC1=CC=C(CN(N2C=NC=C2)CC3=CC=CC4=C3C=CC=C4)C(Cl)=C1,8.267771946364356,Inactive,382.31,5,4,0,2,5.538,21.06,0.15069186,-1895.079885,4.068,-0.21484,-0.04267,0.17217,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-59,[0 0 0 ... 0 0 0],"[382.2940000000001, 381.079952904, 5.681500000000004, 3, 0, 21.060000000000002, 4, 5, 26, 0.4427397637637241, 0.09523809523809523, 4]",382.2940000000001,381.079952904,5.681500000000004,3,0,21.060000000000002,4,5,26,0.4427397637637241,0.09523809523809523,4,8.193005228521153,6.412018570358841
429,Non-Steroid,CC(C)(C)C(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.246758210868624,Inactive,395.59,7,4,0,2,6.22,21.06,0.169590356,-1210.564907,4.3466,-0.2177,-0.02981,0.18789,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-60,[0 0 0 ... 0 0 0],"[395.55, 395.23614792800004, 6.186000000000007, 3, 0, 21.060000000000002, 4, 6, 30, 0.38825573492455717, 0.2222222222222222, 4]",395.55,395.23614792800004,6.186000000000007,3,0,21.060000000000002,4,6,30,0.38825573492455717,0.2222222222222222,4,8.236278803239452,5.803917048910462
430,Non-Steroid,N1(N(CC2=CC=CC=C2)CC3=CC=C(C4=CC=CC=C4)C=C3)C=NC=C1,8.227618233182895,Inactive,339.47,6,4,0,2,4.819,21.06,0.155455553,-1053.310822,4.0702,-0.221,-0.02946,0.19154,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-61,[0 0 0 ... 0 0 0],"[339.442, 339.17354767200004, 4.888500000000004, 3, 0, 21.060000000000002, 4, 6, 26, 0.4986518979804265, 0.08695652173913043, 4]",339.442,339.17354767200004,4.888500000000004,3,0,21.060000000000002,4,6,26,0.4986518979804265,0.08695652173913043,4,8.206143773647916,6.220943060977517
431,Non-Steroid,CC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.257376324118015,Inactive,353.5,6,4,0,2,5.306,21.06,0.162612,-1092.625852,4.1157,-0.22102,-0.02951,0.19151,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-62,[0 0 0 ... 0 0 0],"[353.46900000000005, 353.18919773600004, 5.196920000000005, 3, 0, 21.060000000000002, 4, 6, 27, 0.4751231016906953, 0.125, 4]",353.46900000000005,353.18919773600004,5.196920000000005,3,0,21.060000000000002,4,6,27,0.4751231016906953,0.125,4,8.228439884143253,5.909627620873748
432,Non-Steroid,ClC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.185560694582964,Active,373.91,6,4,0,2,5.484,21.06,0.154325468,-1512.903211,4.4362,-0.22102,-0.03333,0.18769,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-63,[0 0 0 ... 0 0 0],"[373.887, 373.13457532000007, 5.5419000000000045, 3, 0, 21.060000000000002, 4, 6, 27, 0.44200101020617266, 0.08695652173913043, 4]",373.887,373.13457532000007,5.5419000000000045,3,0,21.060000000000002,4,6,27,0.44200101020617266,0.08695652173913043,4,8.200773935970384,6.29833946056633
433,Non-Steroid,FC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.198099696659426,Active,357.46,6,4,0,3,5.025,21.06,0.163726787,-1152.542892,4.322,-0.21993,-0.03226,0.18767,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-64,[0 0 0 ... 0 0 0],"[357.432, 357.16412586, 5.027600000000005, 3, 0, 21.060000000000002, 4, 6, 27, 0.4826373546379063, 0.08695652173913043, 4]",357.432,357.16412586,5.027600000000005,3,0,21.060000000000002,4,6,27,0.4826373546379063,0.08695652173913043,4,8.21619498890149,6.078620230002955
434,Non-Steroid,CC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.247369502068667,Inactive,353.5,6,4,0,2,5.306,21.06,0.16639532,-1092.629091,4.4085,-0.22008,-0.02872,0.19136,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-65,[0 0 0 ... 0 0 0],"[353.46900000000005, 353.18919773600004, 5.196920000000005, 3, 0, 21.060000000000002, 4, 6, 27, 0.4751231016906953, 0.125, 4]",353.46900000000005,353.18919773600004,5.196920000000005,3,0,21.060000000000002,4,6,27,0.4751231016906953,0.125,4,8.20448558572725,6.244740762870716
435,Non-Steroid,ClC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.227083160764419,Inactive,373.91,6,4,0,2,5.484,21.06,0.153672128,-1512.905371,2.0003,-0.22225,-0.03414,0.18811,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-66,[0 0 0 ... 0 0 0],"[373.887, 373.13457532000007, 5.5419000000000045, 3, 0, 21.060000000000002, 4, 6, 27, 0.44200101020617266, 0.08695652173913043, 4]",373.887,373.13457532000007,5.5419000000000045,3,0,21.060000000000002,4,6,27,0.44200101020617266,0.08695652173913043,4,8.176819637554381,6.655495014418605
436,Non-Steroid,FC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.17255018319399,Active,357.46,6,4,0,3,5.025,21.06,0.168450468,-1152.543935,3.1039,-0.22283,-0.03104,0.19179,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-67,[0 0 0 ... 0 0 0],"[357.432, 357.16412586, 5.027600000000005, 3, 0, 21.060000000000002, 4, 6, 27, 0.4826373546379063, 0.08695652173913043, 4]",357.432,357.16412586,5.027600000000005,3,0,21.060000000000002,4,6,27,0.4826373546379063,0.08695652173913043,4,8.192240690485487,6.423316318312736
437,Non-Steroid,COC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.235000680775098,Inactive,369.5,7,4,0,3,4.803,30.29,0.168239529,-1167.832441,5.6553,-0.21773,-0.02752,0.19021,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-68,[0 0 0 ... 0 0 0],"[369.468, 369.18411235600007, 4.8971000000000044, 4, 0, 30.29, 4, 7, 28, 0.4642390447083526, 0.125, 4]",369.468,369.18411235600007,4.8971000000000044,4,0,30.29,4,7,28,0.4642390447083526,0.125,4,8.226707486860866,5.9332481588570065
438,Non-Steroid,COC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.235427236007151,Inactive,369.5,7,4,0,3,4.803,30.29,0.17132402,-1167.831075,4.3387,-0.21288,-0.03031,0.18257,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-69,[0 0 0 ... 0 0 0],"[369.468, 369.18411235600007, 4.8971000000000044, 4, 0, 30.29, 4, 7, 28, 0.4642390447083526, 0.125, 4]",369.468,369.18411235600007,4.8971000000000044,4,0,30.29,4,7,28,0.4642390447083526,0.125,4,8.202753188444863,6.269700734267895
439,Non-Steroid,ClC(C=C1Cl)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.264584186348403,Inactive,408.35,6,4,0,2,6.148,21.06,0.151051872,-1972.497562,2.7762,-0.22177,-0.03713,0.18464,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-70,[0 0 0 ... 0 0 0],"[408.33200000000005, 407.09560296800004, 6.195300000000006, 3, 0, 21.060000000000002, 4, 6, 28, 0.37907651992302493, 0.08695652173913043, 4]",408.33200000000005,407.09560296800004,6.195300000000006,3,0,21.060000000000002,4,6,28,0.37907651992302493,0.08695652173913043,4,8.191542862861132,6.433645647452891
440,Non-Steroid,FC(C=C1F)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.190041055623263,Active,375.45,6,4,0,4,5.23,21.06,0.17680366,-1251.774849,2.9655,-0.21942,-0.03169,0.18773,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-71,[0 0 0 ... 0 0 0],"[375.422, 375.15470404800004, 5.166700000000005, 3, 0, 21.060000000000002, 4, 6, 28, 0.46374438092734754, 0.08695652173913043, 4]",375.422,375.15470404800004,5.166700000000005,3,0,21.060000000000002,4,6,28,0.46374438092734754,0.08695652173913043,4,8.192240690485487,6.423316318312736
441,Non-Steroid,ClC(C=C1Cl)=CC=C1CN(CC2=CC=C(C(C)(C)C)C=C2)N3C=NC=C3,8.235214607606764,Inactive,388.37,6,3,0,2,6.03,21.06,0.170061469,-1898.695485,4.1864,-0.22182,-0.0386,0.18322,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-72,[0 0 0 ... 0 0 0],"[388.3420000000001, 387.12690309600004, 5.825800000000005, 3, 0, 21.060000000000002, 3, 5, 26, 0.5487200057017294, 0.2857142857142857, 3]",388.3420000000001,387.12690309600004,5.825800000000005,3,0,21.060000000000002,3,5,26,0.5487200057017294,0.2857142857142857,3,8.185351387167028,6.526023191920411
442,Non-Steroid,CC(C)(C)C(C=C1)=CC=C1CN(CC2=CC=CS2)N3C=NC=C3,8.205054059028928,Active,325.52,6,3,0,2,4.655,49.3,0.181541261,-1300.261801,3.4637,-0.21774,-0.0192,0.19854,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-73,[0 0 0 ... 0 0 0],"[325.481, 325.161268736, 4.580500000000004, 4, 0, 21.060000000000002, 3, 5, 23, 0.6844132682926164, 0.3157894736842105, 3]",325.481,325.161268736,4.580500000000004,4,0,21.060000000000002,3,5,23,0.6844132682926164,0.3157894736842105,3,8.226546021782005,5.935454474000731
443,Non-Steroid,CC(C)(C)C(C=C1)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.221848749616356,Inactive,394.6,7,4,0,1,6.68,17.82,0.17044735,-1194.564937,4.6776,-0.2181,-0.0318,0.1863,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-74,[0 1 0 ... 0 0 0],"[394.562, 394.24089896000004, 6.874100000000007, 2, 0, 17.82, 4, 6, 30, 0.34863581030795965, 0.25, 4]",394.562,394.24089896000004,6.874100000000007,2,0,17.82,4,6,30,0.34863581030795965,0.25,4,8.262817808134933,5.4598686124267735
444,Non-Steroid,N1(C(CC2=CC=CC=C2)CC3=CC=C(C4=CC=CC=C4)C=C3)C=NC=C1,8.22023931623131,Active,338.48,6,4,0,1,5.28,17.82,0.157867271,-1037.308966,4.4225,-0.21942,-0.03027,0.18915,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-75,[0 1 0 ... 0 0 0],"[338.454, 338.178298704, 5.576600000000005, 2, 0, 17.82, 4, 6, 26, 0.44881566187367583, 0.125, 4]",338.454,338.178298704,5.576600000000005,2,0,17.82,4,6,26,0.44881566187367583,0.125,4,8.208223815279624,6.191219260548095
445,Non-Steroid,CC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.22308341717869,Inactive,352.51,6,4,0,1,5.766,17.82,0.16492949,-1076.631282,4.5985,-0.21891,-0.03522,0.18369,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-76,[0 1 0 ... 0 0 0],"[352.48100000000005, 352.19394876800004, 5.885020000000006, 2, 0, 17.82, 4, 6, 27, 0.42324275864701993, 0.16, 4]",352.48100000000005,352.19394876800004,5.885020000000006,2,0,17.82,4,6,27,0.42324275864701993,0.16,4,8.23052117265479,5.881374406621098
446,Non-Steroid,ClC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.224566254271954,Inactive,372.92,6,4,0,1,5.944,17.82,0.156511313,-1496.910162,5.3825,-0.21961,-0.02817,0.19144,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-77,[0 1 0 ... 0 0 0],"[372.899, 372.13932635200007, 6.230000000000006, 2, 0, 17.82, 4, 6, 27, 0.39195444472437535, 0.125, 4]",372.899,372.13932635200007,6.230000000000006,2,0,17.82,4,6,27,0.39195444472437535,0.125,4,8.216119141095668,6.079681929584019
447,Non-Steroid,FC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,8.231859407654174,Inactive,356.47,6,4,0,2,5.485,17.82,0.164613438,-1136.545594,5.1985,-0.21867,-0.03109,0.18758,CYP19 (aromatase): exploring the scaffold flexibility for novel selective inhibitors,Bioorg Med Chem. 2008;16(18):8349-78,[0 1 0 ... 0 0 0],"[356.444, 356.16887689200007, 5.715700000000005, 2, 0, 17.82, 4, 6, 27, 0.4322003305001075, 0.125, 4]",356.444,356.16887689200007,5.715700000000005,2,0,17.82,4,6,27,0.4322003305001075,0.125,4,8.218275030533198,6.049576451136658
